,locations,image,latitude,longitude,Entry Fee,Timings,Descriptions,Rate,Rate_counts
10,Narayanhiti Palace,,27.71628,85.32028,,11 am to 4 pm,"Want to know how the politics have transformed Nepal? Well, things will get a lot clearer when you visit the Narayanhiti Palace and Museum. Full of meeting rooms and 1970s glamour, the palace has opulent interiors. The place is well known for its museum beauty. Once, King Gyanendra lived in it, but he was given 15 days to vacate the property after his fall from the throne.This palace is also the place where Prince Dipendra massacred his family in 2001. The place is morbidly market and the bullet holes are still visible on some of the walls. But nevertheless, this place offers a peek into the regal lifestyle of the royals, the one that people only dream about.",4.4,"(4,621)"
11,Indra Chowk,,27.70594,85.30967,,Open from morning till evening.,"Makhan Tole’s busy street spills and brings you closer to Indra Chowk, which is a popular courtyard in the region. The place, named after an ancient Vedic deity, Indra is known for its market and cultural escapades. It is here that you will find merchants of blankets and clothes, next door stone Shiva Temple and stunning façade of the Akash Bhairab Temple. Apart from the market, one of the biggest highlights of this place is the Sky Temple. This particular temple has four metal lions that appear to be rearing over the street. It also includes two more brass lions at the entrance, where nonHindus can’t enter. The market here, hidden in alleyways to the east are a must visit, especially if you want to eat some local food or wish to buy beads and bangles sold by the indigenous people of this region, making it a great tourist place in Kathmandu.",,
12,Jagannath Temple,,27.69202,85.30258,,10:30 AM to 5:00 PM,Jagannath temple in Kathmandu Durbar Square is one of the most sought after Hindu places to visit in Kathmandu that is widely famous for its architectural designs and religious significance. The exotic carving on the body of the temple makes it one of the best tourist places in Kathmandu and in turn it attracts zillions of visitors all through the year.The temple was constructed in the middle of 16th century when the King Mahenda of the Malla Dynasty used to rule. The temple is a two storied building that is located on a raised platform and is constructed in a traditional pagoda style with wood and bricks. Architectural designs and religious significance,4.6,(77)
13,Freak Street,,27.70271,85.30766,,,"Freak Street happens to be a small street that is located to the South of Kathmandu Durbar Square. Once upon a time, this famous tourist place in Kathmandu was called the old freak street which refers to the hippie trail of 1960 and 1970s.This is no less than any other ordinary street in Kathmandu but it has got a good share of history and heritage attached to it. You will find a number of old shops and residences by the side of this road. Popular destination on 1960s/1970s hippie trail, drug selling",4.1,26 reviews
14,Kasthamandap,,27.704,85.30579,,,"Kasthamandap happens to be a three storied public shelter that houses a shrine consecrated to Gorakshanath situated at Maru. There are zillions of stories and myths connected to the construction of one of the most loved tourist places in Kathmandu.However, as per the recent developments found out after the earthquake in the year 2015 suggest that it was built in the 7th century during the Licchavi Era. The building was constructed from wood of a single sal tree and as per the legends, it was initially used as shelter but later it was converted into a place of worship. Architecture crafted from a single tree of Sal",4.6,(881)
15,Asan,,27.70939,85.31228,is free. But you will have to pay for buying items.,Open from morning to evening.,"Asan, a shopper’s delight is one of the main marketplaces in central Kathmandu, the capital city of Nepal. The place is a historic bazaar which has been popular for decades. The section is known for its festival calendar and strategic location as well. Streets at Asan converge in a square, which makes it a perpetual, bustling region. The colours here are vivid and bright, which makes it more enticing for the travellers. A variety of merchandise and diverse range of products are sold at this place, which makes it more exciting for travellers.Here, you can buy anything from spices to textiles, bullions, electronics and food items. The market is home to several architectural sights as well.",4.2,"(5,198)"
16,Taudaha Lake,,27.64965,85.28284,,,"It’s time that you explore Kathmandu fair and square. Go for offbeaten tracks and trails and enjoy discovering Taudaha Lake. A small lake that’s located in the outskirts of Kathmandu, Taudaha represents ‘snake’ and ‘lake.’ The name actually comes from mythology, where it is believed that a Buddhist mythical character Manjushree had cut the hill to drain the water of this lake, which is why the lake is now smaller than it used to be. However, due to the draining of lake, countless nagas, mythological creatures who were half snakes and half humans were left homeless.And therefore, an underwater lake or Taudaha was built, where serpent king and the subjects lived. That’s why the lake is considered tranquil. This lake is perfect for birdwatchers, as a number of migratory species visit the place.",4.3,(776)
17,Kathesimbhu Stupa,,27.70957,85.3098,There is no admission charges for entry into the stupa complex,The complex is opened for public access the entire day throughout the week.,"The 17thcentury rendition of the renowned Swayambhunath temple, Kathesimbhu Stupa is one of the most popular Tibetan pilgrimage sites in Kathmandu. Located between Thamel and Durbar Square, the stupa was built using the left over materials from Swayambhunath temple complex.It is set in a hidden courtyard, surrounded by smaller stupas, engravings and statutes. Although well maintained and intact, this UNESCO World Heritage Site witnessed minor damages in the 2015 earthquake. In the northwestern corner of the courtyard there’s a beautiful pagoda dedicated to Hariti, the goddess of smallpox whereas the northeast corner is adorned with the Drubgon Jangchup Choeling Monastery.",,
18,Dakshinkali Temple,,27.60526,85.26349,,,Dakshinkali Temple is one of the major Hindu Shrines in the city of Kathmandu which is dedicated to Goddesses Kali. The name and fame of one of the best places to visit near Kathmandu is due to the rituals and traditions followed. There are animal sacrifices in every fortnight.The place of worship was constructed by Rani Rashmoni who was a great devotee of the fierce and feared Goddesses Kali. You can find the idol of the temple standing on top of a corpse portraying the victory of good over evil. Rituals and traditional approach of Worship,4.6,"(4,194)"
19,National Museum of Nepal,,27.7055,85.28914,Rs 300,10:30 am to 4:30 pm.,"Close to Swayambhunath, one of the most beautiful monasteries in the world lies a sprawling museum in a walled compound. This National Museum has some of the most interesting treasures on display, which makes Chhauni Museum a tourist place in Kathmandu worth a visit.In the museum compound, you will find Judda Art Gallery, which is home to exquisite metal, terracotta and stone statues of Nepali deities. There are fabulous cloth paintings here as well. The place has a life sized statue of Jayavarma as well. The statue, discovered in 1992 is over 1800 years old. This museum includes temple styled Buddhist Art Gallery as well. The place has everything from manuscripts to informative displays and stone depiction of Buddha to offer. This place is home to leather cannons as well, seized during the 1792 NepalTibet War.",4.2,"(1,157)"
20,White Monastery,,27.72358,85.36908,The usual price is USD 1.,The place is open from morning to evening only on Saturdays.,"Nepal holds a prominent place in Buddhist culture. The country has a number of monasteries, including Seto Gumba or the White Monastery. This is a natural beauty with the relevant religious importance. The white monastery is surrounded by lush green valley and vivid terrain which makes it such a delight to watch and a must place you cannot miss to visit in Kathmandu. The White Monastery gives heavenly pleasure and provides bird eye’s view of the Kathmandu Valley. One of the main highlights of this monastery is its white colour as well as the serenity and calmness that it has to offer. The monastery has several murals, statues and paintings that can provide indepth information about Buddhism. The place is on offbeaten track but located close to the Swoyambhunath Stupa.",,
21,Bajrayogini Temple,,27.74378,85.46723,,,"Bajrayogini Temple happens to be a Tantrik Temple which is dedicated to the Buddhist Tantric Goddess in Nepal. This place is also known as Bodhisattva's Temple. In order to reach the temple complex and one of the best places to visit in Kathmandu, you would need to climb up a stone stairway.The best part of this temple is its fascinating setting in the midst of the alluring natural beauty. The complex of the best tourist places in Kathmandu has stonework, metal work, wood carving, caves, and stupas that date back to the time of the Buddha Shakyamuni. Stonework, metal work, wood carving",4.6,(564)
22,Royal Botanical Gardens,,27.59699,85.38327,,,"Kathmandu can get quite crowded during the holidays. But if you want someplace peaceful and quiet, then there’s a perfect spot for you. It is the Royal Botanical Gardens. The place is quaint and great for walking and picnic. However, you might want to avoid it on Fridays and Saturdays, as schoolkids often visit the place then. While the place was slightly damaged during the earthquake, repairs are going on and the place will be back to its glory.One of the main highlights of this place is the visitor center, where you can experience an enormous variety of Nepal’s flora. The place includes cactus house, orchid house and a tropical house as well. In the middle of the center is the coronation pond, with a pillar. Add the Botanical Garden in the list of places to visit in Kathmandu, if you want to enjoy the beautiful nature in Nepal.",4.3,"(4,615)"
23,Seto Machindranath Temple,,27.71127,85.33932,,6:00 AM to 10:00 PM,"Seto Machindranath Temple is one of the best Hindu and Buddhist places to visit in Kathmandu that is situated in Jana Bahal. As per the belief, the temple was constructed around the 10th century and is home to the idol of Seto Machindranath who is also known as Janabaha Dyp.The best time to come over to these places to visit near Kathmandu would be in the month of Chaitra, when a three day long procession festival of the Lord is organised here. 10th century Architecture",4.6,"(1,246)"
24,Tribhuvan Museum,,27.70423,85.30754,Citizens of SAARC Countries NPR 150. Other Foreign Nationals NPR 1000.,0:30 AM to 3:00 PM,"Tribhuvan Museum which is situated inside the Hanuman Dhoka Palace in Kathmandu has got the personal artefacts of Nepali King Tibhuvam Bir Bikram Shah. Built in the 19th century, the museum was once used by the Late King to sit and observe the problem and prosperity of his people.You will get to explore a wide range of historical artefacts of the bygone era during your tour to the most sought after places to visit in Kathmandu. You will also get to find statues, stonework, woodwork, weapons, the king's attires, his walking stick, thrones, boxing gloves, among other things.The museum near the best places to visit near Kathmandu is also home to some priceless collection of coins and photographs of the hunting trips. Relics of the bygone era belonging to the king.",,
25,Casino Royale,,27.71151,85.3199,"is free, but you have to pay for playing games.",Open from morning till late night.,"Get ready to look suave. Style yourself in a tuxedo and throw away your backpack for a while. Polish up on some Sean Connery impressions and explore the royal world of Casino Royale, one of the most popular casinos in the country. This former Rana Palace at the Yak and Yeti Hotel is the perfect place to visit and hang out in a Kathmandu. One of the leading casinos in the area, the place has a number of tables where you can enjoy gambling, card games and other plays. If you stay here long enough, you may even get the opportunity to enjoy sumptuous dinner buffets. Frequented by tourists and locals alike, the casino is an ideal place for a conversation or for socializing. Oh! And don’t forget to try slot machines.",,
26,Rani Pokhari,,27.70782,85.31535,,,"Rani Pokhari which translates to the Queen’s Pond is a historic artificial pond that is located in the heart of Kathmandu City. This was originally known as Nhu Pukhu which means square shaped tank.The pond dates back to almost the 17th century and was constructed on the eastern side of the city limits. During your visit to this place, you will also be able to capture the views of the old city gate. Square shaped pond",4.4,(462)
27,Ratna Park,,27.70649,85.31452,NPR 50 to NPR 75,5:00 AM to 7:00 PM,Ratna Park is a wonderful park that is located in central Kathmandu and is named after the famous queen Ratna who was the wife of King Mahendra. The park was constructed for the children so that they can have some playful time.The park is located in between Rani Pokhari and Tudikhel in the city centre of Kathmandu. This place is considered to be one of the most sought after places to visit in Kathmandu. Park for the children of the royal family,3.9,"(14,927)"
28,Babar Mahal,,27.69444,85.32293,,,"Babar Mahal happens to be a Rana Palace in the city and one of the best places to visit in Kathmandu which is located to the north of Bagmati River. The mahal was constructed with an impressive architectural design with a number of courtyards, buildings, and gardens.The palace was initially under Jung Bahadur Rana Thapathali Durbar but later it was separated, demolished and reconstructed by Chandra Shumsher Jang Bahadur Rana during his reign as prime minister and executive leader of Nepal. Impressive architectural design with a number of courtyards, buildings, and gardens",,
29,Singha Durbar,,27.69648,85.32462,"NPR 1,000",10:00 AM to 5:00 PM,"Singha Durbar is a palace in the city of Kathmandu that is situated in the centre of Kathmandu. The durbar was constructed by Chandra Shumsher JBR in the month of June, 1908. This palace happened to be one of the most sought after places in the whole world until the 1950s because of its wonderful architectural design and intricate artworks.At the present time, being one of the best places to visit near Kathmandu houses a number of buildings of the Nepali Government such as Rastriya sabha, Pratinidhi Sabha and many other Ministries. Architectural design and intricate artworks.",4.3,(504)
30,Basantapur Tower,,27.70404,85.30709,"For SAARC 150 NPR , For Foriegners 750 NPR.",9:00 AM to 5:00 PM,"Basantapur Tower happened to be the tallest tower in Kathmandu Durbar Square. The tower was constructed in the 18th century during the reign of King Prithvi Narayan of the Shah Dynasty.The tower has got nine storeys and it is open for the visitors to explore and sight beautiful views of the surroundings. If you are a keen observer, then you will just fall in love with the ancient carvings on the wooden structure. Panoramic views",,
31,Ashok Binayak,,27.7055,85.3042,"change, depending on the weather.",The place is open from morning till evening.,"A religious site, Ashok Binayak Temple is the place that shouldn’t be missed. In the midst of rubbles from the temples, a tiny golden shrine lies at the top of Maru Tole, this shrine is one of the most important shrines in the valley. Lord Ganesha is one of the most loved gods among the locals in Kathmandu and hence, this shrine has hundreds and thousands of visitors every single day. the place holds high regards in Kathmandu and is a must visit tourist place in Kathmandu. If you are heading for a trek or wish to explore the place to the fullest, then make sure that you visit the temple. The temple has a selfserve tika dispenser as well, with the rejuvenating ringing of bells that will leave you destressed. It is believed that visiting this place will ensure safety on a forthcoming journey.",4.6,(546)
32,Pilgrims Book House,,27.71375,85.31015,"is free. However, you will be charged for buying books from the store.",Open from morning till night.,"Kathmandu’s best bookstore, Pilgrims’ Book House was burned down in 2013, but travelers hope that it rises from the ashes. The place still has a section where most of the saved books are available on display. The place has books on everything, from Buddhism to Hinduism, Yoga and Language books along with books for children.The bookstore is a part of a book publishing company by the same name. This company is actually located in Varanasi. The book house itself has several books on religion and other topics. These saved books are mostly available on discount, with cheaper price options throughout the day. the place is a great place to visit in Kathmandu for readers and travelers. the place of Some of the popular books available here includes Mount Everest, Nepal Himalaya, A message from Arunachala and Sadhus of India.",4.6,(997)
33,Shechen Monastery,,27.72445,85.3608,,Everyday 24 hours open.,"According to Tibetan Buddhism, the Shechen Monastery is one of the six mother monasteries of the Nyingma tradition. It was built in 1695 by Shechen Rabjam Tenpé Gyaltsen. It was heavily influential during the 18th and 19th centuries and that’s why, the place during in the Cultural Revolution. However, in the late 1950’s Dilgo Khyentse Rinpoche, one of the great luminaries of Tibetan Buddhism in the 20thcentury, started transplanting its rich tradition to a new home i.e. Shechen Tennyi Dargyeling Monastery located near the great Stupa of Bodhnath, in the Kathmandu Valley. The monastery is a fine example of Tibetan art, which took almost 10 years to complete. Frescoes covering the walls of the temple depict the great history of Tibetan Buddhism.This monastery serves as a school and residence to over 400 monks.",4.6,(358)
34,Khawalung Monastery,,27.73393,85.36798,is free for travellers.,Open for tourists from morning to evening.,"Explore Buddhism through the eyes of Khawalung Monastery. Founded by Vajra Master Jigme Dorje Rinpoche, the spiritual heir of Choying Wangpo Rinpoche, the monastery preserves, upholds and disseminates general Buddhist Teachings. this tourist place in Kathmandu is a haven for spiritual seekers. The monastery has been detailed extensively in terms of its architecture, inspired by the Buddhist styles and structure. It is also a major sect of Vahrayana Buddhism and provides teachings about the religion. At the moment, there are three teachers who work at the elementary and training school, teaching rites and rituals to the next generation.Besides religious education, the place is known for basic and advanced courses as well. It even provides children with medical expenses, free food and clothing. The same is offered to all the monks residing here.",,
35,Patan Durbar Square,,27.6734,85.32506,,,"Patan Durbar Square is one of the three Durbar Square in Kathmandu Valley that is also an UNESCO world heritage Site. This place is a marvel of the Newar Architecture. You will get to find the glimpses of the same from the tiled square floor with red bricks.There are a number of temples in the area which create a divine connection for the devotees. Being a centre for both Hinduism and Buddhism, this place attracts zillions of devotees all through the year. One of the most sought after attractions of this place is the ancient royal palace where the Malla Kings used to reside.",4.6,"(27,404)"
36,Nagarkot,,27.69217,85.5199,,,"A Top spot in tourist places in Kathmandu, travellers can enjoy Himalayan views and the panorama here. Nagarkot is well known for its stunning natural beauty and a number of hotels. The village is stacked up with hotels and accommodations, allowing you to view nature straight from the balcony. The views itself are breathtaking and it can get quite cold in here!The sunrise view of the Mount Everest and other peaks gives this place a considerable edge. The major highlight of this place is the fact that 8 out of 13 Himalayan ranges in Nepal are visible from this place. The place is known for its views of the Kathmandu valley, Shivapuri National Park, Numbur Forest, Rolwaling range, Ganesh himal and Langtang range.The location is actually quite strategic. Once upon a time, this place served as the ancient fort for Kathmandu valley. At that point of time, it was used to monitor other kingdoms. Today, it is a popular hill station, where you can stay and enjoy a blissful holiday.",,
37,Chandragiri,,27.69263,85.22467,,,"Chandragiri happens to be a municipality in Kathmandu which is situated to the south west of the capital city Kathmandu. It is one of the most sought after one day trip destinations in Kathmandu that attracts both locals and tourists.If you wish to have an exhilarating experience in Nepal, then there is no better place than this. The best part of this place is its spectacular views of the great Himalayan mountain ranges from the top. You will be able to capture a picture perfect view of the snow covered crest of the mountain ranges.",,
38,Shivapuri Nagarjun National Park,,27.81475,85.39229,Rs 300,"Open at all times, but entry times differ.","Sprawling forests of Shivapuri National Park are exciting, enthralling and extremely inviting. The ninth National Park in the country is known for being a birdwatcher’s paradise. The place boasts of over 300 species of birds and several rare orchids. The forest comes alive with a diverse range of flora and fauna. The national park was established in 2002 and it is a famous tourist place near Kathmandu. A number of herbs prosper in the place, while the overall park has broadleaf forests. The place comes alive with animals like Jungle Cats and Indian Leopard, Yellow Throated Marter, Himalayan Black Bear, Hanuman Langur, clouded leopard, leopard cat, barking deer and wild boar among other animals. Ornithologists have recorded over 318 species of birds at the place, including barred cuckoo dove, Eurasian eagle owl and goldenthroated barbet.",4.4,"(5,497)"
39,Langtang National Park,,28.25796,85.67728,,Open at all times.,"Explore starry nights, have a rendezvous with the wild and discover the joys of nature by visiting Langtang National Park. The fourth national park and the first Himalayan National Park in the country encompass 26 Village Committees. The stunningly beautiful park has borders with Tibet and follows the course of Bhote Kosi and Trisuli rivers. With forests of pine and bamboo trees, this park captures attention instantly. It ascends through the pastures at the alpine meadows and it is right here where you will find outstanding mountain views. The flora and fauna of this place is just incredible, one of the reasons why it is perfect for hiking and camping trips. Langtang national park is also known as a great trekking place in Kathmandu. The place has decent tea houses and quite friendly locals who can help you through the course of your journey.",4.6,"(1,859)"
40,Bhaktapur,,27.70452,85.45155,,,"Bhaktapur is the largest of the three Newar kingdoms in the Kathmandu Valley of Nepal. Until the second half of the 15th century, it served as the capital of Nepal. Listed as a UNESCO World Heritage Site, this city is known from its rich culture and wellpreserved palace courtyards and temples. It is home to the country’s traditional art, architecture and craft works. From time immemorial, this city lay on the trade route between Tibet and India. Nyatapola Temple, Bhairab Nath Temple, Dattatraya Temple, Changu Narayan, Layaku (Durbar Square), Ta Pukhu (Siddha Pokhari) and Kailashnath Mahadev Statue are some of the major attractions here. The city is also famous for its Ju Ju dhau, a special type of curs, which is believed to have a unique taste that cannot be found nowhere else in Nepal. Popular mask dances centered around the lives of different deities are performed here.",,
41,Chisapani,,27.77243,85.28793,,,"Chisapani happens to be a village in the Banke District of South Western Nepal which is also known for its excellent adventure fun. It is home to some of the popular hiking trails around the Kathmandu Valley.As this place lets you gather views and experience of rural sherpa and Tamang lifestyle, it is one of the must visit places that you should not miss out on during your visit. This place lets you have wonderful views of the famous Shivapuri National Park which is one of the most loved getaways in the country that lets you relax away from the hustle and bustle of the city life.",,
42,Dhulikhel,,27.62188,85.5722,,,"Dhulikhel is a municipality in Kavrepalanchok District of Nepal. It is one of the top places in Nepal from where you can sight the brilliant views of Himalayan Mountain Ranges.You will get to witness the stunning panorama of peaks like Langtang Lirung, Dorje Lakpa, bulk of Gauri Shankar, Melungtse, and Numbur. You can think of spending two nights here with a side trip to the sacred Stupa at Namobuddha and a three hour hiking tour of the south.",,
43,Kirtipur,,27.67654,85.27824,,Open all day.,"A wonderful sense of faded grandeur, coupled with serenity and sleepiness makes Kirtipur a must visit. The impressive medieval temples dot this place. Located close to Kathmandu, the district is primarily known for its historic treasures and part of a long list of places to visit in Kathmandu. The highlights of this place is how it can help you transcend into a bygone era. Apart from the temples and the medieval architectures, the place is known for its historic story, wherein when Prithvi Narayan Shah stormed into the valley in 1768 and won the town, he ordered that nose and lips be cut off every male in the town. Only those who could play wind instruments were left with their nose and lips. The town, which was shaken by the earthquake has largely been restored. The place offers multiple panoramas of some beautiful mountains across the country which makes it a favoured tourist place in Kathmandu.",,
44,Phulchoki,,27.5749,85.36864,Free.,,"A prominent mountain peak in Nepal, Phulchowki surrounds the valley of Kathmandu. The mountain is called ‘Phul,’ to reflect flowers, the literal meaning. This place is a natural garden of flowers and everything brightbeautiful! The Mountain is a bed of wild roses, along with iris, yellow jasmine and several native flowers. Exploring it is fun and enchanting because of the grove of rhododendrons in various hues. The path or the trail towards the summit includes keeping able roads. The route takes you through the Buddhist shrine as well.If you have tried trekking or love hiking, then this is your place to visit in Kathmandu trip it shouldn’t take more than four hours. The area is well known for its resorts as well. If you are looking for something peaceful or if you are searching for a short, easy day hike, then this is the place that should be listed in your itinerary.",4.4,(298)
45,Kulekhani,,27.56204,85.21998,,,Kulekhani is a village in Makwanpur District in the Narayani Zone of Southern Nepal. The major attraction of this place is the rock fill dam on the Kulekhani River whose primary purpose is hydroelectric power generation.Tourists love to come over to this place to enjoy the scenic beauty of the surroundings and spend some time close to nature.,,
46,Lakuri Bhanjyang,,27.61961,85.41427,,,Lakuri Bhanjyang happens to be a hill station that is situated on the south east corner of Kathmandu Valley. This place is a famous spot for picnic that you can reach by a bit of offroading or trekking. This is one of the most sought after destinations for a one day hike.You can reach the summit in just 1 hour by a bus from Gwarko or else you will need 2 3 hours hiking at an average speed. This natural retreat promises you with picture perfect beauty that will just tranquilise your soul.,,
47,Namo Buddha,,27.57137,85.58453,,,Namo Buddha is a well known Buddhist religious spot in Kathmandu. The pilgrimage site is located at a distance of 4 km from Boudhanath Stupa and it is a pleasant place to spend time. You will just fall in love with the alluring lush landscape.You will get to capture the views of the mountain ranges and groovy forest cover with emerald and turquoise jewels. You can choose to come over to shi place for relaxing in complete solitary.,,
48,Kakani,,27.82255,85.24428,,,Kakani is a village development in Nuwakot District in Bagmati Pradesh of Central Nepal. It is one of the accessible settlements located at a height of about 2000 meters above the sea level. The hill station has got a British Gurkhas Welfare Bungalow and a memorial park dedicated to the victims of the Thai Airways International Flight.Kakani is a leader in strawberry farming with the assistance of a United Nations Development Programme project. The cooperative society produces close to 250000 kg of strawberry fruit per year.,,
49,Helambu,,28.00799,85.53386,,,"Helambu happens to be a region of the highland villages in Nepal that is home to the Hyolomo People. This region begins at the Laurebina La Pass and then descends to the Melamchi Valley. This place is a true delight for nature lovers as they will be able to capture scenic views of the Rhododendron flowers, pine forests, green meadows.You will also be able to get stunning views of Ganesh Himal, Langtang Lirung, and Gaurishankar. During your visit to this place, you can think of exploring the Shivapuri National Park and many other ancient monasteries, stupas, and shrines.",,
50,Jump KTM,,27.7353701,85.34744291,,,,4.0,(616)
51,Art in Paradise Nepal,,27.7014958,85.31308042,,,,3.7,(62)
52,Whoopee Land,,27.66180365,85.28689587,,,,4.1,"(2,608)"
53,Astrek Park,,27.71557915,85.3124924,,,,4.3,(197)
54,Kathmandu Sports Climbing Centre,,27.7168741,85.3065128,,,,4.5,(245)
55,House of Palettes,,27.6827881,85.3021862,,,,4.5,(62)
56,Kathmandu Fun Park,,27.7009176,85.3196018,,,,4.0,"(3,679)"
